group,trialtype,item,qtype,foctype,sound,sentence
A,target,1,pnq,npf,1-pnq-npf.wav,민우가 이모를 불렀다.
B,target,1,pnq,pof,1-pnq-pof.wav,민우가 이모를 불렀다.
C,target,1,pq,npf,1-pq-npf.wav,민우가 이모를 불렀다.
B,target,2,pnq,npf,2-pnq-npf.wav,유민이가 월요일에 왔다.
C,target,2,pnq,pof,2-pnq-pof.wav,유민이가 월요일에 왔다.
A,target,2,pq,npf,2-pq-npf.wav,유민이가 월요일에 왔다.
C,target,3,pnq,npf,3-pnq-npf.wav,유라가 매미한테 물렸다.
A,target,3,pnq,pof,3-pnq-pof.wav,유라가 매미한테 물렸다.
B,target,3,pq,npf,3-pq-npf.wav,유라가 매미한테 물렸다.
A,filler,4,filler,bad,filler2-conch-bad.wav,정은이가 소라를 먹었다.
B,filler,4,filler,bad,filler2-conch-bad.wav,정은이가 소라를 먹었다.
C,filler,4,filler,bad,filler2-conch-bad.wav,정은이가 소라를 먹었다.
A,filler,5,filler,good,filler3-film-good.wav,재연이가 영화를 두 개 봤다.
B,filler,5,filler,good,filler3-film-good.wav,재연이가 영화를 두 개 봤다.
C,filler,5,filler,good,filler3-film-good.wav,재연이가 영화를 두 개 봤다.
