sp,gender,type,stop,word,vowel, Duration ,MidF0,StartF0,EndF0,VOT
JP,F,asp,p,pama,a ,0.105791926,231.3291878,241.4609672, --undefined--,0.069
JP,F,asp,p,paneul,a ,0.088328165,229.6017552,245.2087475,231.4852967,0.089
JP,F,len,b,bama,a ,0.107032953,186.2053124,184.5994636,185.9943037,0.076
JP,F,len,b,baneul,a ,0.096454567,186.8857651,196.1702733,187.6995843,0.069
SH,F,asp,t,tomang, o ,0.123053718,282.6482177,299.1770554,265.0088014,0.118725
SH,F,asp,t,tongmil, o ,0.131474207,283.5866131,288.3030303,271.0737468,0.129445
SH,F,len,d,domang, o ,0.153917675,196.3425536,220.342384,190.6000537,0.086977
SH,F,len,d,dongmil, o ,0.268534908,185.3518721,204.7011106,181.7116117,0.055779
SS,F,asp,k,keonning, eo,0.103721485,281.0548478,294.1814122,277.9466738,0.09177
SS,F,asp,k,keorae, eo,0.093605712,279.9391777,291.1263515,280.3989021,0.126289
SS,F,len,g,geonning, eo,0.105195209,212.0575967,238.349503,210.5498339,0.081884
SS,F,len,g,georae, eo,0.11565158,218.2174404,253.2154081,216.4496374,0.114925
AK,F,asp,k,keonning , eo ,0.070469387,257.3201406,267.7047563,252.473418,0.11
AK,F,len,g,geonning , eo ,0.077607667,217.4824891,229.6792138,210.9119776,0.04
AK,F,asp,k,keorae , eo ,0.158655195,250.2021159,254.8011182,240.5256996,0.11
AK,F,len,g,georae , eo ,0.166659249,209.0602008,229.3147179,210.4542125,0.08
LJH,M,asp,p,pama,a,0.31,187,188,116,0.08
LJH,M,asp,p,paneul,a,0.28,197,198,125,0.09
LJH,M,len,b,bama,a,0.38,136,134,116,0.08
LJH,M,len,b,baneul,a,0.29,143,144,120,0.07
