"F0","base_word","count_trial_logger","response","response_time","speaker","stop_type","subject_nr","time_experiment","word_choice0_eng","word_choice1_eng","subj_gender","subj_age","subj_region","group","stop_response","stop_response2","word_status"
3,"bama",0,1,25902,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
2,"paneul",1,1,1351,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
3,"pama",2,1,1227,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
2,"bama",3,1,3768,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
4,"pama",4,0,1897,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
7,"bama",5,0,1375,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
1,"paneul",6,1,1207,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
1,"pama",7,1,1443,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
6,"baneul",8,0,1909,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
5,"baneul",9,0,3663,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
6,"bama",10,0,1344,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
6,"bama",11,0,1291,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
4,"bama",12,1,1323,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
4,"baneul",13,1,1449,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
7,"bama",14,0,1276,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
5,"paneul",15,0,1713,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
1,"baneul",16,1,1154,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
5,"baneul",17,1,2463,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
3,"bama",18,1,867,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
3,"pama",19,1,1280,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
4,"paneul",20,1,4145,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
4,"bama",21,1,1016,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
6,"paneul",22,0,1383,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
6,"pama",23,0,1763,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
5,"bama",24,0,2408,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
7,"paneul",25,0,1680,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
2,"baneul",26,1,1204,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
7,"pama",27,0,1167,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
2,"pama",28,1,1419,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
7,"baneul",29,0,1368,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
2,"pama",30,1,961,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
5,"pama",31,0,1221,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
6,"paneul",32,0,1266,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
5,"bama",33,0,1260,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
2,"baneul",34,1,1297,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
3,"paneul",35,0,1384,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
3,"baneul",36,1,1194,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
1,"pama",37,1,1435,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
3,"paneul",38,1,927,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
1,"baneul",39,1,711,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
4,"baneul",40,1,897,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
7,"baneul",41,0,1216,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
1,"paneul",42,1,913,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
1,"bama",43,1,899,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
7,"pama",44,0,1137,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
7,"paneul",45,0,796,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
4,"pama",46,0,873,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
5,"pama",47,0,704,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
4,"paneul",48,0,882,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
3,"baneul",49,1,1237,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
1,"bama",50,1,1034,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
5,"paneul",51,0,1048,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
6,"pama",52,0,1381,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","p","asp","asp_word"
2,"paneul",53,1,1815,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","b","len","len_word"
6,"baneul",54,0,878,"M1","pb",16,5801,"paneul","baneul","M",20,"SE","P","p","asp","len_word"
2,"bama",55,1,1008,"M1","pb",16,5801,"pama","bama","M",20,"SE","P","b","len","asp_word"
3,"domang",56,1,1823,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
1,"tomang",57,1,1089,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
6,"tomang",58,0,960,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
3,"tongmil",59,1,975,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
1,"tongmil",60,1,777,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
7,"domang",61,0,922,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
1,"domang",62,1,682,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
6,"domang",63,0,569,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
4,"domang",64,1,688,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
2,"dongmil",65,1,1086,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
6,"tongmil",66,0,1197,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
7,"dongmil",67,0,772,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
5,"tomang",68,1,596,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
4,"dongmil",69,1,797,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
2,"domang",70,1,656,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
5,"dongmil",71,0,760,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
7,"tomang",72,0,836,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
3,"dongmil",73,1,768,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
2,"domang",74,1,1468,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
3,"tomang",75,1,572,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
2,"tomang",76,1,615,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
4,"dongmil",77,0,1117,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
